id,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
12202,2,0,0,4,0,0,1,175,2018,10,4,1,0,0,0,130.05,0,1
12203,2,0,0,2,0,0,0,308,2018,11,25,0,0,0,0,52.0,1,0
12204,2,0,0,2,0,0,0,162,2017,9,17,0,0,0,0,70.0,0,0
12205,2,1,2,3,0,0,0,81,2018,9,11,1,0,0,0,134.1,0,1
12206,2,1,0,1,2,0,0,34,2018,10,3,1,0,0,0,194.85,0,1
12207,2,1,2,2,0,0,0,11,2018,11,13,1,0,0,0,65.29,2,0
12208,2,0,0,1,0,0,0,124,2018,4,8,1,0,0,0,96.3,0,0
12209,2,2,0,2,1,0,3,15,2017,10,8,1,0,0,0,153.0,1,0
12210,1,0,0,2,0,0,0,47,2017,11,11,2,0,0,0,65.0,0,0
12211,1,0,0,1,0,0,0,15,2018,6,27,2,1,0,2,65.0,0,0
12212,1,0,0,2,0,0,0,6,2018,11,9,4,1,0,4,0.0,1,0
12213,2,2,2,3,0,0,3,81,2018,5,15,1,0,0,0,187.85,1,1
12214,2,1,0,1,0,0,0,179,2018,7,27,1,0,0,0,112.5,0,1
12215,3,0,2,3,0,0,0,148,2018,8,21,0,0,0,0,96.9,0,1
12216,3,0,1,0,0,0,1,81,2018,10,16,1,0,0,0,151.2,1,0
12217,2,0,1,3,1,0,0,157,2018,5,30,1,0,0,0,94.5,1,1
12218,2,0,1,0,0,0,0,286,2018,10,16,0,0,0,0,90.0,0,1
12219,3,0,2,1,0,0,1,139,2018,7,23,1,0,0,0,137.7,2,0
12220,2,0,0,2,2,0,0,63,2017,9,9,0,0,0,0,116.0,0,0
12221,2,0,0,1,0,0,1,130,2018,9,29,1,0,0,0,139.5,2,1
12222,2,0,1,3,0,0,0,147,2018,7,18,1,0,0,0,78.76,0,1
12223,2,0,2,2,0,0,0,273,2018,5,13,1,0,0,0,95.0,0,1
12224,2,0,2,1,0,0,2,1,2018,1,7,1,0,0,0,76.25,1,0
12225,2,0,2,1,0,0,0,97,2018,5,30,0,0,0,0,80.75,0,0
12226,2,0,0,3,0,0,4,36,2018,12,29,1,0,0,0,110.8,3,0
12227,2,0,0,4,0,0,1,3,2018,12,7,0,0,0,0,96.8,1,0
12228,2,0,0,4,0,0,1,97,2018,12,29,0,0,0,0,60.5,1,0
12229,2,0,0,1,0,0,0,119,2018,6,9,1,0,0,0,97.71,1,0
12230,1,0,0,1,0,0,0,4,2018,2,25,0,0,0,0,62.0,0,0
12231,2,0,0,4,0,0,0,70,2018,12,9,0,0,0,0,75.0,0,0
12232,2,0,1,2,0,0,0,19,2018,11,7,1,0,0,0,171.0,1,1
12233,2,0,2,2,0,0,0,34,2018,3,4,0,0,0,0,65.0,0,0
12234,2,0,2,5,0,0,1,20,2018,12,21,1,0,0,0,96.9,2,0
12235,2,0,0,1,0,0,0,84,2017,10,30,0,0,0,0,65.0,0,0
12236,2,0,2,2,0,0,0,151,2017,8,16,1,0,0,0,76.5,2,1
12237,2,0,0,2,2,0,0,6,2017,12,10,1,0,0,0,0.0,0,0
12238,1,0,1,2,0,0,0,34,2018,10,28,0,0,0,0,80.0,0,0
12239,2,0,2,3,0,0,0,206,2018,9,8,1,0,0,0,126.9,1,1
12240,1,0,0,1,0,0,0,1,2018,11,24,0,0,0,0,67.0,0,0
12241,2,0,0,2,0,0,1,253,2018,10,7,1,0,0,0,140.4,0,1
12242,2,0,0,2,2,0,0,12,2018,10,9,0,0,0,0,107.0,1,0
12243,3,0,0,3,0,0,1,29,2018,2,23,1,0,0,0,139.0,0,1
12244,2,0,2,2,0,0,1,83,2018,7,2,0,0,0,0,82.45,0,0
12245,2,0,0,3,0,0,5,3,2018,10,2,1,0,0,0,218.72,1,0
12246,2,0,1,2,0,0,0,114,2018,7,1,0,0,0,0,75.0,0,1
12247,2,0,0,2,0,0,0,112,2018,6,2,0,0,0,0,115.0,1,1
12248,2,0,0,2,0,0,0,245,2018,9,27,0,0,0,0,110.0,0,1
12249,2,0,0,2,0,0,0,44,2018,4,25,0,0,0,0,85.5,0,0
12250,2,1,1,1,0,0,0,152,2018,7,13,1,0,0,0,119.0,2,0
12251,3,0,0,4,0,0,1,113,2018,8,9,1,0,0,0,150.3,0,1
12252,2,0,0,3,0,0,0,113,2018,9,7,1,0,0,0,118.8,2,1
12253,2,0,1,0,0,0,0,111,2018,6,27,1,0,0,0,105.3,0,1
12254,2,0,2,1,0,0,0,152,2018,5,22,1,0,0,0,114.3,0,1
12255,2,0,2,0,1,0,0,170,2018,10,28,1,0,0,0,80.1,2,0
12256,2,0,2,2,0,0,1,71,2018,5,1,1,0,0,0,132.6,2,0
12257,2,0,0,1,0,0,0,25,2017,9,13,0,0,0,0,75.6,0,1
12258,1,0,0,1,0,0,4,5,2018,12,10,2,0,0,0,96.0,0,0
12259,2,0,2,2,0,0,2,91,2018,1,30,1,0,0,0,86.75,1,0
12260,2,0,0,3,0,0,0,97,2018,12,29,1,0,0,0,72.25,1,0
12261,2,0,2,1,0,0,2,224,2018,7,4,1,0,0,0,86.62,1,0
12262,2,0,2,1,0,0,0,244,2018,10,3,1,0,0,0,98.4,1,1
12263,2,0,0,2,0,0,0,44,2018,11,11,0,0,0,0,75.0,0,0
12264,2,0,0,3,0,0,0,278,2018,12,7,1,0,0,0,81.77,1,1
12265,1,0,0,2,2,0,0,6,2017,11,10,1,0,0,0,0.0,0,0
12266,2,0,2,1,0,0,0,17,2017,11,13,0,0,0,0,38.67,0,0
12267,2,0,1,3,0,0,0,104,2018,4,25,1,0,0,0,90.95,0,1
12268,2,0,0,1,0,0,0,65,2018,9,21,0,0,0,0,80.75,2,0
12269,2,0,2,2,0,0,0,418,2018,9,19,1,0,0,0,107.0,2,1
12270,2,0,0,3,0,0,0,304,2018,5,3,0,0,0,0,89.0,0,1
12271,1,0,1,2,0,0,0,46,2018,3,26,1,0,0,0,107.1,0,1
12272,1,0,1,2,0,0,0,19,2017,10,25,0,0,0,0,75.0,1,0
12273,2,0,2,1,0,0,0,208,2018,10,30,1,0,0,0,80.75,1,1
12274,2,0,0,4,0,0,0,87,2018,3,22,1,0,0,0,77.35,2,0
12275,2,0,1,3,2,0,0,19,2018,9,26,1,0,0,0,149.0,0,1
12276,2,0,0,2,0,0,0,37,2018,10,27,0,0,0,0,85.5,1,0
12277,2,0,0,2,0,0,0,207,2018,8,5,1,0,0,0,90.95,1,0
12278,1,0,2,1,0,0,0,1,2018,3,28,1,0,0,0,60.0,0,1
12279,2,0,0,3,0,0,0,172,2018,10,4,1,0,0,0,108.9,1,1
12280,2,0,1,2,2,0,0,66,2017,10,9,0,0,0,0,75.0,0,0
12281,1,0,0,1,1,0,0,131,2018,10,11,1,0,0,0,108.0,1,0
12282,2,1,0,1,0,0,0,10,2018,11,23,1,0,0,0,104.0,2,0
12283,2,0,1,3,0,0,1,8,2018,9,26,1,0,0,0,184.0,1,0
12284,2,0,0,3,0,0,2,6,2017,12,13,1,0,0,0,104.25,1,0
12285,2,0,0,1,0,0,0,216,2018,8,5,1,0,0,0,96.3,0,1
12286,2,0,0,3,0,0,0,204,2017,10,9,0,0,0,0,72.75,0,0
12287,2,0,1,5,0,0,1,157,2018,10,3,1,0,0,0,132.3,0,1
12288,0,2,2,5,2,0,2,200,2018,8,6,1,0,0,0,88.38,3,0
12289,3,0,1,2,0,0,1,55,2018,6,3,1,0,0,0,159.3,2,0
12290,1,0,1,0,0,0,0,0,2018,1,14,2,1,0,3,79.0,0,0
12291,2,2,2,1,0,0,2,2,2018,2,6,1,0,0,0,85.03,1,0
12292,2,1,0,2,0,0,0,34,2018,3,24,1,0,0,0,112.5,0,1
12293,2,0,1,4,0,0,1,39,2018,9,27,1,0,0,0,129.99,1,1
12294,2,0,2,0,0,0,0,112,2018,7,24,1,0,0,0,105.3,0,0
12295,2,0,0,2,0,0,0,320,2018,8,18,0,0,0,0,115.0,0,1
12296,2,2,0,3,0,0,3,29,2018,2,11,1,0,0,0,75.95,0,0
12297,2,0,2,5,0,0,1,25,2017,10,25,0,0,0,0,96.9,2,0
12298,2,0,0,2,0,0,0,163,2018,9,15,0,0,0,0,100.0,0,1
12299,2,0,0,2,0,1,1,23,2018,4,15,1,0,0,0,145.0,1,0
12300,2,0,1,4,0,0,0,124,2018,8,8,1,0,0,0,114.3,0,1
12301,2,0,0,4,0,0,0,103,2018,10,19,1,0,0,0,118.8,0,1
12302,2,0,2,2,0,0,0,199,2018,4,29,1,0,0,0,106.2,1,1
12303,1,0,1,2,0,0,0,37,2018,10,13,0,0,0,0,95.0,0,0
12304,2,0,2,2,0,0,0,47,2018,12,2,1,0,0,0,59.91,1,0
12305,2,0,2,5,0,0,0,150,2018,2,22,0,0,0,0,41.43,0,0
12306,3,0,0,4,0,0,0,115,2018,7,29,1,0,0,0,141.3,0,0
12307,2,0,0,1,1,0,0,181,2018,7,23,1,0,0,0,86.5,1,1
12308,2,0,0,2,0,0,0,31,2018,9,16,0,0,0,0,70.0,0,1
12309,2,0,2,2,0,0,0,104,2017,8,21,1,0,0,0,76.5,1,0
12310,3,0,0,2,0,0,1,48,2018,9,1,1,0,0,0,168.3,1,0
12311,2,0,2,4,0,0,2,11,2017,11,13,1,0,0,0,65.29,1,0
12312,2,0,0,4,0,0,0,260,2018,12,29,1,0,0,0,113.4,2,1
12313,3,0,0,3,0,0,1,156,2018,10,6,1,0,0,0,151.2,0,1
12314,2,1,0,1,0,0,0,180,2018,10,16,1,0,0,0,112.5,0,1
12315,3,0,0,3,0,0,1,3,2018,4,22,1,0,0,0,145.0,2,0
12316,2,0,1,4,0,0,0,40,2018,1,31,0,0,0,0,60.0,0,0
12317,2,0,2,2,0,0,0,12,2017,12,8,0,0,0,0,65.0,0,0
12318,2,0,0,5,1,0,0,61,2018,11,22,1,0,0,0,74.8,0,1
12319,2,0,2,3,0,0,0,276,2018,9,22,0,0,0,0,95.67,1,0
12320,2,0,2,1,0,0,2,97,2018,5,14,1,0,0,0,112.01,0,1
12321,2,1,1,1,0,0,0,162,2018,7,8,1,0,0,0,130.5,0,1
12322,3,0,1,3,0,1,1,78,2018,4,25,1,0,0,0,128.7,2,0
12323,1,0,2,2,0,0,1,108,2018,6,16,1,0,0,0,86.4,1,0
12324,2,2,0,2,0,0,3,12,2017,8,30,1,0,0,0,156.0,2,0
12325,1,0,0,1,0,0,4,5,2018,5,18,0,0,0,0,181.0,0,0
12326,2,2,2,1,0,0,3,0,2018,10,16,1,0,0,0,219.0,0,1
12327,2,0,1,3,0,0,0,129,2018,9,26,0,0,0,0,80.75,0,0
12328,2,0,2,2,0,0,0,8,2017,11,5,0,0,0,0,43.5,0,0
12329,2,0,2,4,0,0,0,69,2018,6,12,0,0,0,0,120.0,1,1
12330,2,0,1,1,0,0,0,129,2018,10,10,0,0,0,0,80.75,0,0
12331,1,0,0,3,0,0,0,37,2018,10,16,0,0,0,0,95.0,0,0
12332,2,0,1,2,1,0,0,131,2018,8,17,0,0,0,0,72.25,0,0
12333,2,0,0,3,0,0,0,156,2018,8,16,0,0,0,0,72.25,0,1
12334,2,0,1,2,0,0,0,96,2018,10,3,0,0,0,0,80.75,0,0
12335,2,0,1,2,0,0,0,305,2018,11,21,1,0,0,0,89.0,0,1
12336,3,0,2,3,0,0,1,40,2018,12,23,1,0,0,0,130.9,2,0
12337,2,0,0,3,0,0,1,253,2018,10,3,1,0,0,0,140.4,0,1
12338,3,0,2,2,0,0,1,69,2018,12,23,1,0,0,0,110.7,2,0
12339,2,0,0,4,0,0,1,65,2018,9,14,1,0,0,0,149.4,0,0
12340,2,0,1,3,0,0,1,80,2018,9,17,1,0,0,0,149.4,1,0
12341,2,0,2,1,0,0,2,21,2017,11,28,1,0,0,0,77.25,0,0
12342,2,0,0,3,0,0,2,40,2017,11,1,0,0,0,0,75.0,0,0
12343,2,0,1,2,0,0,0,224,2017,9,2,0,0,0,0,65.0,0,0
12344,2,0,2,1,0,0,1,41,2017,11,13,0,0,0,0,60.0,0,0
12345,2,0,2,2,0,0,0,111,2018,12,5,1,0,0,0,88.4,2,0
12346,1,0,0,4,0,0,0,23,2018,2,12,0,0,0,0,61.0,0,0
12347,2,0,1,1,0,0,0,113,2018,7,12,1,0,0,0,105.3,0,0
12348,1,0,0,1,0,0,0,29,2017,12,31,0,0,0,0,67.0,0,0
12349,2,0,0,3,1,0,0,225,2018,8,12,1,0,0,0,88.5,0,1
12350,2,0,0,3,0,0,0,150,2018,6,16,1,0,0,0,90.0,2,0
12351,1,0,1,0,0,0,0,0,2018,11,23,2,1,0,4,65.0,1,0
12352,3,0,0,2,0,0,1,15,2018,5,26,1,0,0,0,156.0,1,0
12353,1,0,0,1,0,0,0,0,2018,2,19,2,1,0,4,65.0,0,1
12354,2,0,0,2,0,0,0,111,2018,4,22,0,0,0,0,72.25,0,1
12355,2,2,0,1,0,0,3,47,2018,12,3,1,0,0,0,156.6,1,0
12356,2,0,1,2,0,0,0,198,2018,6,9,0,0,0,0,130.0,0,1
12357,2,0,1,3,0,0,0,237,2017,9,14,1,0,0,0,89.25,1,1
12358,3,0,0,2,0,0,1,169,2018,8,12,1,0,0,0,137.7,0,1
12359,2,0,0,3,0,0,0,41,2018,10,5,0,0,0,0,85.5,0,0
12360,2,0,0,4,0,0,2,181,2018,8,11,1,0,0,0,99.45,1,1
12361,2,0,0,2,2,0,0,69,2017,9,25,0,0,0,0,106.0,0,0
12362,2,0,1,2,0,0,0,66,2017,10,17,0,0,0,0,75.0,0,1
12363,1,0,0,2,0,0,0,7,2017,9,16,0,0,0,0,113.6,0,0
12364,2,0,0,5,0,0,0,228,2018,10,4,0,0,0,0,102.85,0,1
12365,3,0,0,4,0,0,1,186,2018,8,12,1,0,0,0,130.05,2,1
12366,3,0,0,2,0,0,1,57,2018,9,1,1,0,0,0,142.2,2,0
12367,2,0,0,4,2,0,0,100,2018,9,28,0,0,0,0,140.0,2,0
12368,2,2,0,1,0,0,3,36,2018,7,20,1,0,0,0,168.3,1,0
12369,2,0,2,5,0,0,0,248,2018,10,31,0,0,0,0,80.75,0,1
12370,2,0,2,0,0,0,2,62,2018,9,4,1,0,0,0,96.23,1,0
12371,1,0,1,1,0,0,0,63,2018,6,11,1,0,0,0,126.9,0,1
12372,2,1,0,2,0,0,0,80,2018,7,20,1,0,0,0,94.5,0,1
12373,2,0,2,1,0,0,2,20,2018,1,24,1,0,0,0,77.25,1,0
12374,2,0,2,5,0,0,0,76,2018,3,7,0,0,0,0,41.43,1,0
12375,1,0,2,3,0,0,1,57,2018,6,1,1,0,0,0,109.65,1,1
12376,3,0,2,1,0,0,1,15,2018,11,12,1,0,0,0,154.0,0,1
12377,2,1,2,2,0,0,0,8,2018,12,4,1,0,0,0,113.6,2,0
12378,2,0,0,3,0,0,0,214,2018,8,18,1,0,0,0,90.9,0,1
12379,2,0,1,2,0,0,0,88,2018,5,2,0,0,0,0,75.0,1,0
12380,2,1,0,1,0,0,3,155,2018,8,16,1,0,0,0,186.3,0,1
12381,2,0,2,2,0,0,0,56,2018,11,6,0,0,0,0,75.0,0,0
12382,2,0,2,1,0,0,1,10,2018,9,25,1,0,0,0,174.0,3,0
12383,2,1,0,3,0,0,0,54,2018,4,31,1,0,0,0,115.5,0,1
12384,2,0,1,3,0,0,0,265,2018,10,9,1,0,0,0,100.3,0,0
12385,1,0,1,2,0,0,0,127,2017,8,15,0,0,0,0,63.75,1,1
12386,1,0,0,4,0,0,0,63,2018,1,19,0,0,0,0,71.0,0,0
12387,2,0,0,5,0,0,2,9,2018,1,29,1,0,0,0,79.25,0,0
12388,1,0,0,2,0,0,0,172,2018,6,24,0,0,0,0,95.0,1,0
12389,2,0,1,2,0,0,0,105,2017,10,12,0,0,0,0,110.0,0,1
12390,2,0,0,3,0,0,0,238,2018,10,13,0,0,0,0,80.0,1,0
12391,2,0,0,4,0,0,0,136,2018,7,13,1,0,0,0,92.28,2,0
12392,2,0,2,1,0,0,1,116,2018,11,4,1,0,0,0,131.4,1,1
12393,2,0,1,1,0,0,5,18,2018,7,7,1,0,0,0,191.0,0,1
12394,2,0,2,2,0,0,0,233,2018,10,14,0,0,0,0,90.0,0,1
12395,2,0,1,2,1,0,0,113,2018,8,12,1,0,0,0,102.6,0,1
12396,2,0,2,4,0,0,0,207,2018,7,28,1,0,0,0,80.75,0,1
12397,2,0,2,1,0,0,1,166,2018,8,27,1,0,0,0,96.3,0,1
12398,2,0,0,2,1,0,0,260,2018,9,22,1,0,0,0,113.4,0,1
12399,3,0,0,4,2,0,0,100,2018,9,28,0,0,0,0,140.0,1,0
12400,3,0,1,3,0,0,0,127,2018,8,22,1,0,0,0,128.7,0,1
12401,2,0,0,4,2,0,0,100,2018,9,24,0,0,0,0,140.0,1,0
12402,2,0,0,4,1,0,0,19,2018,12,27,1,0,0,0,63.55,0,0
12403,2,0,0,4,1,0,0,134,2018,7,13,1,0,0,0,89.25,0,1
12404,2,0,0,2,0,0,0,377,2018,10,14,0,0,0,0,90.0,0,1
12405,2,0,1,2,0,0,0,141,2018,8,22,1,0,0,0,128.7,2,0
12406,2,0,0,4,0,0,0,113,2018,5,9,1,0,0,0,135.15,0,1
12407,2,0,2,5,1,0,0,121,2018,7,10,1,0,0,0,84.15,1,0
12408,2,0,0,2,0,0,0,322,2018,12,14,0,0,0,0,52.0,0,0
12409,2,0,0,4,1,0,0,178,2018,8,26,1,0,0,0,90.9,2,1
12410,2,2,0,1,0,0,2,14,2017,12,30,1,0,0,0,82.92,0,0
12411,2,1,0,3,0,0,0,23,2018,12,8,1,0,0,0,109.8,0,1
12412,2,2,2,5,0,0,0,215,2018,8,9,1,0,0,0,106.25,1,1
12413,2,0,1,2,0,0,0,132,2017,10,17,0,0,0,0,72.25,0,0
12414,2,0,1,3,0,0,1,78,2018,12,26,1,0,0,0,105.61,0,1
12415,1,0,1,2,0,0,0,117,2018,2,12,0,0,0,0,76.0,0,0
12416,1,0,0,1,0,0,0,2,2017,9,30,0,0,0,0,110.5,0,0
12417,2,0,1,0,1,0,0,305,2018,10,4,1,0,0,0,89.0,1,1
12418,2,2,0,3,0,0,3,33,2018,8,24,1,0,0,0,207.9,0,1
12419,1,1,3,5,0,0,0,7,2018,1,25,1,0,0,0,64.08,1,0
12420,3,0,2,2,0,0,1,51,2018,7,10,1,0,0,0,154.35,0,1
12421,2,0,1,1,0,0,0,19,2017,12,26,0,0,0,0,58.0,0,0
12422,2,0,1,2,2,0,0,11,2017,10,23,0,0,0,0,88.5,0,0
12423,2,0,0,2,2,0,0,65,2017,10,2,0,0,0,0,109.0,0,0
12424,2,1,1,0,0,1,0,4,2018,7,24,1,0,0,0,159.0,2,0
12425,1,0,0,2,0,0,1,36,2018,2,18,1,0,0,0,115.8,1,0
12426,2,0,1,1,2,0,0,74,2017,9,18,0,0,0,0,80.0,0,0
12427,2,0,1,0,0,0,0,109,2017,7,13,1,0,0,0,76.5,1,1
12428,2,0,1,1,0,0,0,144,2018,7,30,1,0,0,0,114.3,1,0
12429,2,0,2,2,0,0,0,77,2018,2,6,1,0,0,0,60.0,1,0
12430,2,0,0,2,0,0,0,161,2018,3,25,0,0,0,0,130.0,0,0
12431,2,0,0,2,2,0,0,256,2018,6,15,0,0,0,0,90.0,2,0
12432,2,0,2,3,0,0,2,48,2018,3,20,1,0,0,0,83.5,1,0
12433,2,0,1,2,0,0,4,46,2018,10,28,1,0,0,0,144.0,3,0
12434,2,0,2,5,0,1,0,191,2018,8,23,1,0,0,0,101.75,0,1
12435,2,0,1,2,0,0,0,81,2018,3,25,0,0,0,0,65.0,1,0
12436,2,0,2,0,0,0,0,122,2018,5,22,1,0,0,0,105.3,3,0
12437,2,0,1,1,1,0,0,143,2018,8,6,1,0,0,0,94.5,1,0
12438,1,0,0,4,0,0,1,11,2018,5,24,1,0,0,0,120.12,0,1
12439,2,0,2,3,0,0,1,24,2018,1,31,0,0,0,0,61.5,0,0
12440,2,0,0,2,2,0,0,5,2018,5,24,0,0,0,0,112.0,1,0
12441,2,0,1,0,2,0,0,301,2018,7,18,1,0,0,0,115.0,0,1
12442,2,0,0,2,0,0,0,273,2018,5,13,0,0,0,0,90.0,0,1
12443,3,0,1,5,0,0,1,141,2018,8,23,1,0,0,0,131.47,1,0
12444,1,0,2,5,0,0,0,15,2018,11,3,2,0,0,0,79.75,0,1
12445,2,0,2,4,0,1,0,87,2018,10,23,1,0,0,0,135.0,1,0
12446,1,0,0,1,0,0,0,119,2018,4,15,1,0,0,0,90.9,0,0
12447,2,0,1,3,0,0,0,105,2017,9,5,1,0,0,0,71.4,1,0
12448,2,0,1,2,0,0,0,91,2017,7,11,1,0,0,0,58.9,0,1
12449,2,0,1,3,0,0,0,174,2017,10,10,1,0,0,0,70.0,0,1
12450,2,0,0,2,0,0,1,64,2018,9,16,1,0,0,0,149.4,0,1
12451,2,1,1,1,0,0,0,1,2017,12,16,1,0,0,0,96.0,1,0
12452,1,0,1,2,0,0,0,191,2018,6,3,0,0,0,0,116.0,0,1
12453,2,0,2,3,0,0,2,48,2018,11,5,0,0,0,0,68.0,0,0
12454,2,0,1,1,0,0,0,162,2018,7,1,1,0,0,0,96.3,1,1
12455,2,1,0,1,0,0,0,15,2018,3,31,1,0,0,0,119.0,2,0
12456,3,0,0,2,0,0,0,84,2018,7,7,1,0,0,0,137.7,1,0
12457,2,0,2,2,0,0,2,88,2018,5,29,1,0,0,0,112.01,0,1
12458,2,0,1,4,0,0,0,245,2018,7,6,0,0,0,0,110.0,0,1
12459,1,0,1,3,0,0,0,5,2018,5,2,0,0,0,0,112.0,0,0
12460,2,0,0,2,0,0,0,159,2018,8,10,1,0,0,0,114.3,0,1
12461,2,0,0,3,1,0,0,188,2018,9,15,1,0,0,0,116.1,0,1
12462,2,0,2,1,2,0,0,1,2017,8,15,0,0,0,0,94.5,0,0
12463,1,0,2,3,0,0,0,192,2018,7,2,1,0,0,0,108.9,1,1
12464,2,0,0,3,0,0,0,160,2017,12,14,0,0,0,0,70.0,0,0
12465,2,0,0,2,0,0,0,107,2018,6,10,0,0,0,0,144.0,0,1
12466,2,0,1,2,0,0,0,113,2018,4,25,1,0,0,0,96.3,1,0
12467,2,2,2,1,0,0,3,183,2018,8,7,1,0,0,0,187.5,0,1
12468,3,0,2,2,0,0,1,65,2018,6,26,1,0,0,0,137.7,1,0
12469,3,0,1,3,0,0,1,48,2018,4,11,1,0,0,0,130.05,0,0
12470,2,0,1,4,0,0,0,215,2018,7,28,1,0,0,0,90.95,0,0
12471,2,0,2,2,0,0,0,61,2018,5,29,0,0,0,0,80.75,0,0
12472,3,0,1,3,0,0,1,174,2018,9,19,1,0,0,0,150.45,0,1
12473,2,0,0,4,1,0,0,260,2018,12,22,1,0,0,0,53.47,0,0
12474,1,0,0,3,0,0,0,13,2018,5,5,0,1,0,1,80.0,0,0
12475,1,0,0,3,0,0,0,37,2018,6,14,1,0,0,0,95.0,0,1
12476,1,0,2,5,0,0,0,3,2018,2,11,1,0,0,0,74.7,1,1
12477,2,0,1,3,0,0,0,148,2018,6,25,1,0,0,0,79.53,1,0
12478,2,0,1,1,1,0,0,141,2018,8,4,1,0,0,0,103.5,0,0
12479,2,0,0,4,0,0,0,224,2018,8,24,1,0,0,0,96.3,0,1
12480,2,0,2,2,0,0,1,136,2018,4,28,1,0,0,0,102.85,0,1
12481,2,0,0,5,0,0,1,122,2018,8,13,1,0,0,0,144.9,3,0
12482,2,0,2,4,1,0,0,123,2018,5,21,1,0,0,0,89.25,0,1
12483,2,1,1,3,0,0,1,83,2018,12,26,1,0,0,0,90.32,2,0
12484,2,1,1,2,0,0,0,7,2018,3,25,1,0,0,0,114.0,1,0
12485,2,0,2,2,0,0,0,19,2018,9,20,0,0,0,0,119.0,0,0
12486,2,0,0,1,2,0,0,29,2017,12,31,0,0,0,0,130.0,0,0
12487,2,0,2,4,0,0,0,154,2018,6,28,1,0,0,0,90.95,0,1
12488,2,1,1,3,0,0,0,155,2018,8,18,1,0,0,0,130.5,1,1
12489,2,0,1,3,1,0,0,56,2018,3,20,1,0,0,0,63.75,1,0
12490,2,0,1,1,2,0,0,247,2018,8,6,1,0,0,0,115.0,1,1
12491,1,0,0,1,1,0,0,39,2018,11,2,1,0,0,0,109.0,1,1
12492,2,0,2,0,0,0,0,183,2018,10,29,1,0,0,0,80.1,2,1
12493,2,0,2,6,0,0,0,29,2018,1,8,1,0,0,0,79.54,0,1
12494,2,0,0,4,0,0,0,118,2018,4,27,1,0,0,0,90.95,0,0
12495,1,0,0,2,0,0,0,42,2018,11,22,0,0,0,0,67.5,0,0
12496,1,0,1,0,0,0,0,26,2018,10,12,2,1,0,4,98.0,1,0
12497,1,0,1,0,0,0,0,3,2018,2,19,2,1,0,7,66.0,1,0
12498,2,0,1,5,0,0,0,141,2018,7,20,0,0,0,0,72.25,0,0
12499,2,0,2,3,2,0,1,21,2018,3,20,1,0,0,0,108.2,0,0
12500,2,0,1,2,0,0,0,191,2018,6,3,0,0,0,0,132.0,0,1
12501,2,0,0,1,0,0,0,5,2018,10,7,1,0,0,0,190.0,1,0
12502,2,0,1,2,0,0,0,121,2018,6,24,0,0,0,0,80.75,0,1
12503,2,0,0,1,0,0,2,43,2018,1,20,1,0,0,0,86.75,2,0
12504,3,0,0,3,0,0,1,43,2018,3,30,1,0,0,0,123.3,0,1
12505,2,0,0,1,0,0,0,92,2018,4,7,0,0,0,0,70.0,0,1
12506,2,0,0,1,0,0,4,34,2018,10,25,4,0,0,0,0.0,1,0
12507,2,0,0,3,0,0,1,28,2018,9,28,1,0,0,0,164.0,2,0
12508,2,0,2,3,0,0,0,116,2018,7,24,1,0,0,0,99.45,1,0
12509,2,0,2,4,0,0,0,132,2018,7,3,0,0,0,0,72.25,0,1
12510,2,0,0,3,0,0,0,132,2018,7,7,0,0,0,0,72.25,0,0
12511,1,0,0,2,2,0,0,102,2017,10,16,1,0,0,0,80.0,0,1
12512,2,0,2,4,0,0,0,51,2017,9,30,1,0,0,0,69.12,1,0
12513,2,0,2,4,0,0,0,183,2018,5,11,1,0,0,0,100.3,0,1
12514,3,0,2,1,0,0,0,68,2018,9,3,0,0,0,0,116.45,3,0
12515,2,0,2,2,0,0,0,146,2018,4,24,0,0,0,0,95.0,0,1
12516,2,0,0,1,0,0,0,133,2018,8,26,1,0,0,0,121.5,1,0
12517,1,0,0,2,0,0,1,32,2018,9,9,1,0,0,0,149.4,0,1
12518,3,0,1,2,0,0,1,80,2018,7,8,1,0,0,0,147.9,2,0
12519,2,0,2,5,0,0,0,140,2018,12,29,0,0,0,0,70.0,0,0
12520,2,0,0,2,0,0,3,13,2018,8,21,1,0,0,0,231.0,2,0
12521,2,0,2,2,0,0,0,102,2017,10,9,0,0,0,0,72.25,0,1
12522,2,0,0,1,0,0,0,125,2017,7,29,1,0,0,0,76.5,1,0
12523,2,0,1,2,2,0,0,257,2017,7,1,0,0,0,0,101.5,0,1
12524,3,0,0,4,0,0,0,35,2018,2,16,1,0,0,0,92.82,1,0
12525,1,0,0,1,0,0,0,1,2018,10,13,0,0,0,0,120.0,0,0
12526,2,0,1,1,0,0,0,97,2018,9,5,1,0,0,0,135.9,0,1
12527,2,0,0,4,0,0,1,199,2018,12,28,1,0,0,0,102.85,2,0
12528,2,2,0,2,0,0,3,2,2017,8,20,1,0,0,0,180.0,1,0
12529,2,0,0,3,2,0,0,55,2018,4,6,0,0,0,0,104.0,0,1
12530,2,0,0,1,0,0,2,171,2018,6,22,1,0,0,0,83.83,1,0
